CRS1_cpu0_idle_min;CRS1_cpu0_idle_max;CRS1_free_mem;CRS1_free_disk;CRS2_cpu0_idle_min;CRS2_cpu0_idle_max;CRS2_free_mem;CRS2_free_disk;CRS3_cpu0_idle_min;CRS3_cpu0_idle_max;CRS3_free_mem;CRS3_free_disk;GES1ecn2_cpu0_idle;GES1ecn2_free_mem;GES1ecn3_cpu0_idle;GES1ecn3_free_mem;GES2ecn2_cpu0_idle;GES2ecn2_free_mem;GES2ecn3_cpu0_idle;GES2ecn3_free_mem;GES3ecn2_cpu0_idle;GES3ecn2_free_mem;GES4ecn2_cpu0_idle;GES4ecn2_free_mem;GES5ecn2_cpu0_idle;GES5ecn2_free_mem;NBX1_cpu0_idle_min;NBX1_cpu0_idle_max;NBX1_cpu1_idle_min;NBX1_cpu1_idle_max;NBX1_free_mem;NBX1_free_disk;NBX2_cpu0_idle_min;NBX2_cpu0_idle_max;NBX2_cpu1_idle_min;NBX2_cpu1_idle_max;NBX2_free_mem;NBX2_free_disk;TRS1_cpu0_idle_min;TRS1_cpu0_idle_max;TRS1_free_mem;TRS1_free_disk;TRS2_cpu0_idle_min;TRS2_cpu0_idle_max;TRS2_free_mem;TRS2_free_disk;CRS1_cpu0_idle_min;CRS1_cpu0_idle_max;CRS1_free_mem;CRS1_free_disk;CRS2_cpu0_idle_min;CRS2_cpu0_idle_max;CRS2_free_mem;CRS2_free_disk;CRS3_cpu0_idle_min;CRS3_cpu0_idle_max;CRS3_free_mem;CRS3_free_disk;GES1ecn2_cpu0_idle;GES1ecn2_free_mem;GES1ecn3_cpu0_idle;GES1ecn3_free_mem;GES2ecn2_cpu0_idle;GES2ecn2_free_mem;GES2ecn3_cpu0_idle;GES2ecn3_free_mem;GES3ecn2_cpu0_idle;GES3ecn2_free_mem;GES4ecn2_cpu0_idle;GES4ecn2_free_mem;GES5ecn2_cpu0_idle;GES5ecn2_free_mem;NBX1_cpu0_idle_min;NBX1_cpu0_idle_max;NBX1_cpu1_idle_min;NBX1_cpu1_idle_max;NBX1_free_mem;NBX1_free_disk;NBX2_cpu0_idle_min;NBX2_cpu0_idle_max;NBX2_cpu1_idle_min;NBX2_cpu1_idle_max;NBX2_free_mem;NBX2_free_disk;TRS1_cpu0_idle_min;TRS1_cpu0_idle_max;TRS1_free_mem;TRS1_free_disk;TRS2_cpu0_idle_min;TRS2_cpu0_idle_max;TRS2_free_mem;TRS2_free_disk;
74.2857142857;86.9158878505;82.0238883111;73.0;42.0560747664;47.619047619;82.0459487567;73.0;78.0952380952;95.2380952381;82.553339006;73.0;100;92.5404496743;95.2;92.7295650347;100;92.536947538;100;92.4835399594;95.2;91.8724171745;95.4;92.4940463683;100;92.5325698676;71.0;96.9072164948;84.5360824742;97.9166666667;84.0214642962;77.0;70.4761904762;94.8979591837;83.0;95.9595959596;84.6730023858;77.0;24.2424242424;53.0769230769;12.3499379053;38.0;35.5555555556;63.5593220339;7.5341520629;37.0;78.3018867925;88.679245283;82.0459487567;73.0;84.7619047619;95.2380952381;82.0459487567;73.0;38.679245283;48.0769230769;82.5092181148;72.0;100;91.855782027;90.9;92.7374448414;100;92.4362611193;100;92.5457028788;95.4;92.5176857883;95.2;92.4380121874;100;92.4949219024;77.6595744681;96.7032967033;73.7373737374;94.9494949495;83.639418847;76.0;77.7777777778;97.9381443299;84.0;97.9381443299;84.7070852786;76.0;19.1176470588;46.9696969697;12.8880916241;37.0;31.5384615385;65.2542372881;7.4651579964;37.0;
77.358490566;87.7358490566;82.0238883111;73.0;43.5185185185;47.619047619;82.0459487567;73.0;76.6355140187;95.2380952381;82.4777031925;72.0;100;92.490544232;95.0;92.7505778525;95.2;92.5693422988;100;92.5457028788;100;91.9004342649;100;92.4362611193;95.2;92.5430762765;74.0;96.9696969697;75.2577319588;96.9387755102;83.7424601508;77.0;71.4285714286;92.9292929293;80.5825242718;95.0495049505;84.4756386579;77.0;20.5128205128;57.4626865672;14.6543397268;38.0;35.5371900826;64.406779661;7.5203532496;37.0;79.2452830189;88.679245283;82.0459487567;73.0;85.046728972;95.2380952381;82.0459487567;73.0;38.0952380952;48.0769230769;82.5312785604;72.0;100;91.8522798907;100;92.7462001821;95.2;92.490544232;95.4;92.5492050151;95.2;92.5106815157;90.9;92.4275057785;95.2;92.5010506409;76.8421052632;96.7391304348;79.0;94.0;83.2819447857;76.0;77.3195876289;97.8947368421;81.6326530612;97.9591836735;84.4249106315;76.0;22.2222222222;51.5384615385;12.7363046778;37.0;30.9523809524;70.0854700855;7.4789568097;37.0;
74.5283018868;88.5714285714;82.0238883111;73.0;39.2523364486;48.1132075472;82.0459487567;73.0;77.1428571429;95.2380952381;82.553339006;72.0;95.2;92.559711424;90.4;92.7462001821;90.9;92.5360720039;86.3;92.5439518106;95.2;91.8619107656;100;92.5211879246;90.4;92.5553337536;81.4432989691;97.8947368421;82.2916666667;96.9696969697;83.6180179609;77.0;59.6153846154;93.9393939394;76.0;96.0;84.3266250803;77.0;20.5128205128;56.338028169;14.2955705809;38.0;31.1111111111;62.8099173554;6.7062232648;37.0;79.2452830189;88.679245283;82.0459487567;73.0;85.9813084112;95.2380952381;82.0680092024;73.0;38.0952380952;47.619047619;82.5186725915;72.0;100;91.8505288226;95.4;92.7470757162;95.2;92.5106815157;95.2;92.5098059816;95.0;92.5386986061;90.9;92.4038663585;100;92.4800378231;77.6595744681;96.7032967033;75.2475247525;94.9494949495;83.0536686667;76.0;73.4693877551;97.9166666667;85.5670103093;97.9381443299;84.3305882073;76.0;19.2307692308;45.3846153846;13.4124465296;37.0;34.126984127;70.0854700855;7.0235959707;37.0;
77.9816513761;87.7358490566;82.0238883111;73.0;42.9906542056;48.5714285714;81.913586083;73.0;77.5700934579;95.2380952381;82.553339006;72.0;100;92.5045527772;81.8;92.7820970792;100;92.5474539469;95.2;92.5115570498;95.2;91.9240736849;100;92.4493941304;95.2;92.5465784128;81.6326530612;97.9381443299;79.1666666667;96.9072164948;83.4349214905;77.0;70.4761904762;92.0792079208;82.5242718447;95.0;84.1696852484;77.0;17.7966101695;56.4516129032;14.1437836346;38.0;29.4117647059;63.8655462185;7.5479508762;37.0;79.2452830189;88.679245283;82.0459487567;73.0;85.9813084112;95.2380952381;82.0459487567;73.0;38.0952380952;47.619047619;82.5092181148;72.0;100;91.8680395041;100;92.7076766828;100;92.4695314142;100;92.5404496743;95.2;92.5448273447;95.2;92.4782867549;95.2;92.4581494712;75.0;96.7032967033;77.0;95.8762886598;83.019585774;76.0;72.7272727273;96.9072164948;78.3505154639;97.9166666667;84.0309758011;76.0;18.8034188034;52.7559055118;11.0252518283;37.0;30.8270676692;67.5213675214;7.492755623;37.0;
77.7777777778;89.5238095238;81.8915256374;73.0;43.5185185185;48.5714285714;81.913586083;73.0;78.5046728972;95.2380952381;82.553339006;73.0;95.4;92.5570848217;91.3;92.7645863977;95.2;92.5667156966;100;92.5203123906;100;91.8645373678;95.4;92.467780346;100;92.5351964698;70.4081632653;96.9387755102;77.3195876289;97.9381443299;83.1511615925;77.0;63.4615384615;92.1568627451;79.4117647059;95.0495049505;83.8962294809;77.0;24.7863247863;56.25;14.3231682075;38.0;23.4482758621;61.7886178862;7.3133710501;37.0;77.358490566;88.679245283;81.8852226529;73.0;82.4074074074;95.2380952381;82.0459487567;73.0;39.0476190476;48.0769230769;82.5092181148;72.0;95.4;91.8522798907;100;92.7418225117;95.2;92.4747846186;95.2;92.4870420957;100;92.5036772431;95.2;92.3811024725;100;92.4616516075;76.3440860215;96.7391304348;76.7676767677;94.8979591837;82.7104618628;76.0;73.4693877551;97.9381443299;87.6288659794;96.9387755102;83.8621465881;76.0;16.2393162393;57.1428571429;12.7639023044;37.0;29.2682926829;68.3760683761;7.4789568097;37.0;
75.9259259259;88.5714285714;81.8915256374;73.0;43.5185185185;48.0769230769;81.913586083;73.0;77.358490566;97.1153846154;82.553339006;73.0;90.9;92.5588358899;100;92.7365693073;100;92.5929817188;100;92.5430762765;91.3;91.8566575611;100;92.4310079148;95.4;92.5185613224;73.1958762887;96.9387755102;84.5360824742;96.9387755102;82.9379453564;77.0;71.4285714286;92.1568627451;83.3333333333;95.0495049505;83.7210592646;77.0;22.2222222222;59.0551181102;14.6957361667;38.0;22.7586206897;54.9180327869;7.5893473161;37.0;79.8165137615;88.5714285714;81.8915256374;73.0;85.9813084112;96.1538461538;82.0238883111;73.0;38.0952380952;48.0769230769;82.4966121459;72.0;100;91.878545913;95.0;92.7225607621;100;92.4782867549;100;92.5045527772;100;92.5632135603;100;92.4117461652;95.2;92.4257547104;75.7894736842;96.7032967033;69.0;94.8453608247;82.4964530013;76.0;75.5102040816;96.9387755102;85.8585858586;97.9381443299;83.6901468735;76.0;20.3007518797;50.3875968992;12.6673106113;37.0;26.5625;60.0;6.8442113978;37.0;
76.8518518519;86.7924528302;81.8915256374;73.0;43.9252336449;47.619047619;81.9072830985;73.0;77.5700934579;96.1538461538;82.553339006;72.0;95.2;92.6087413322;90.4;92.7243118302;95.2;92.5579603558;100;92.5290677313;95.2;91.9240736849;95.4;92.4992995727;100;92.513308118;71.875;96.9072164948;84.5360824742;97.9166666667;82.7429595048;77.0;70.1923076923;93.9393939394;79.4117647059;95.0495049505;83.5474742991;77.0;22.9007633588;57.8125;14.1851800745;38.0;26.9503546099;60.3305785124;7.5617496895;37.0;79.2452830189;89.6226415094;81.8915256374;73.0;85.7142857143;95.2380952381;81.913586083;73.0;37.962962963;48.1132075472;82.5312785604;72.0;95.2;91.8767948449;95.0;92.7707151362;100;92.4607760734;86.3;92.5667156966;100;92.5185613224;100;92.4336345171;100;92.4765356868;76.0416666667;96.6666666667;77.2277227723;94.9494949495;82.2967113972;76.0;61.2244897959;97.8947368421;84.693877551;96.9696969697;83.4872347677;76.0;19.7080291971;51.9083969466;12.929488064;37.0;31.0606060606;68.0672268908;7.0925900373;37.0;
73.1481481481;87.7358490566;81.8915256374;73.0;42.8571428571;47.619047619;81.913586083;73.0;78.0952380952;95.2380952381;82.553339006;72.0;95.2;92.5789731736;100;92.7146809554;95.2;92.5789731736;100;92.5518316173;95.2;91.8233872662;95.2;92.4511451986;100;92.5264411291;77.3195876289;96.9387755102;77.5510204082;96.9387755102;82.4980382521;77.0;72.1153846154;94.9494949495;78.0;95.0495049505;83.3588294508;77.0;18.8034188034;57.4803149606;13.0536773837;38.0;35.4330708661;61.6666666667;7.5617496895;37.0;77.358490566;89.6226415094;81.8852226529;73.0;85.9813084112;95.2380952381;81.913586083;73.0;38.679245283;47.619047619;82.4966121459;72.0;95.2;91.8759193108;95.2;92.7304405687;100;92.5150591861;90.9;92.5238145269;95.2;92.5448273447;95.2;92.4485185963;95.2;92.4712824823;64.8936170213;95.7446808511;74.0;94.0594059406;82.0264261313;76.0;74.4897959184;97.9166666667;84.5360824742;97.9591836735;83.2573733979;76.0;13.5593220339;48.0916030534;12.0877604526;37.0;35.15625;67.2268907563;7.35476749;37.0;
76.1467889908;88.679245283;81.8915256374;73.0;43.3962264151;47.619047619;81.913586083;73.0;76.6355140187;95.2380952381;82.5407330371;73.0;95.4;92.5395741402;95.2;92.7391959095;90.4;92.5632135603;100;92.5106815157;95.4;91.8864257197;100;92.4476430623;100;92.4975485046;77.5510204082;96.9072164948;80.612244898;97.9381443299;82.3022597751;77.0;64.7058823529;91.1764705882;81.3725490196;95.9595959596;83.1012261915;77.0;26.0162601626;55.5555555556;13.4538429695;38.0;36.641221374;63.4146341463;7.5341520629;37.0;78.7037037037;88.679245283;81.8915256374;73.0;85.9813084112;95.2380952381;81.913586083;73.0;37.037037037;48.5714285714;82.5092181148;72.0;95.2;91.8338936751;95.0;92.6849127968;100;92.4651537438;95.2;92.5063038453;95.4;92.4984240387;95.4;92.4651537438;100;92.4887931638;74.7368421053;95.6989247312;73.2673267327;94.9494949495;81.9075323193;76.0;75.2577319588;97.9381443299;74.2268041237;97.9381443299;83.0822031816;76.0;25.2032520325;51.1450381679;12.0739616393;37.0;32.8244274809;67.5213675214;7.492755623;37.0;
77.7777777778;88.679245283;81.8915256374;73.0;41.9047619048;48.5714285714;81.913586083;73.0;76.6355140187;95.2380952381;82.553339006;72.0;100;92.5220634587;95.2;92.6831617287;100;92.5728444351;95.4;92.5509560832;100;91.936331162;95.4;92.4572739371;95.2;92.5281921972;74.2268041237;96.9387755102;84.693877551;97.9381443299;82.1136149267;77.0;61.5384615385;92.0;73.5294117647;95.0495049505;82.9331896039;77.0;26.0869565217;59.8540145985;14.5577480337;38.0;31.2056737589;64.2276422764;7.5479508762;37.0;77.358490566;89.6226415094;81.8915256374;73.0;84.9056603774;95.2380952381;81.913586083;73.0;38.0952380952;48.0769230769;82.5312785604;72.0;95.4;91.8452756181;95.2;92.7575821251;100;92.5080549135;95.4;92.5229389928;95.4;92.5474539469;100;92.3889822792;95.2;92.5063038453;68.8172043011;96.7032967033;70.297029703;95.0;81.6451733075;76.0;76.2886597938;97.9166666667;85.8585858586;96.9387755102;82.9070329653;76.0;17.6470588235;53.488372093;12.8742928108;37.0;35.6589147287;68.9075630252;6.6510280116;37.0;
