"uptime (s)","time (s)","cpu0 user (%)","cpu0 nice (%)","cpu0 system (%)","cpu0 idle (%)","cpu0 iowait (%)","cpu0 irq (%)","cpu0 softirq (%)","cpu0 steal (%)","cpu0 guest (%)","cpu0 guest_nice (%)"
108906.62,188.17999999999302,19.81132075471698,0.0,17.92452830188679,61.320754716981135,0.0,0.0,0.9433962264150944,0.0,0.0,0.0
108907.68,189.2399999999907,18.867924528301888,0.0,16.037735849056602,63.20754716981132,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108908.74,190.3000000000029,24.528301886792452,0.0,13.20754716981132,60.37735849056604,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108909.8,191.36000000000058,23.58490566037736,0.0,12.264150943396226,62.264150943396224,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108910.86,192.41999999999825,21.69811320754717,0.0,17.92452830188679,57.54716981132076,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108911.92,193.47999999999593,24.528301886792452,0.0,16.037735849056602,56.60377358490566,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108912.98,194.5399999999936,18.867924528301888,0.0,18.867924528301888,60.37735849056604,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108914.04,195.59999999999127,26.41509433962264,0.0,9.433962264150944,61.320754716981135,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108915.09,196.64999999999418,16.9811320754717,0.0,18.867924528301888,60.37735849056604,0.0,0.0,3.7735849056603774,0.0,0.0,0.0
108916.15,197.70999999999185,15.09433962264151,0.0,22.641509433962263,59.43396226415094,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108917.21,198.77000000000407,20.754716981132077,0.0,17.92452830188679,60.37735849056604,0.0,0.0,0.9433962264150944,0.0,0.0,0.0
108918.27,199.83000000000175,20.952380952380953,0.0,16.19047619047619,60.0,0.0,0.0,2.857142857142857,0.0,0.0,0.0
108919.33,200.88999999999942,16.037735849056602,0.0,19.81132075471698,62.264150943396224,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108920.39,201.9499999999971,17.92452830188679,0.0,19.81132075471698,60.37735849056604,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108921.45,203.00999999999476,20.754716981132077,0.0,13.20754716981132,61.320754716981135,0.0,0.0,4.716981132075472,0.0,0.0,0.0
108922.51,204.06999999999243,22.641509433962263,0.0,14.150943396226415,61.320754716981135,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108923.57,205.13000000000466,30.18867924528302,0.0,28.30188679245283,38.679245283018865,0.0,0.0,2.830188679245283,0.0,0.0,0.0
108924.63,206.19000000000233,20.754716981132077,0.0,15.09433962264151,62.264150943396224,0.0,0.0,1.8867924528301887,0.0,0.0,0.0
108925.69,207.25,21.69811320754717,0.0,16.037735849056602,61.320754716981135,0.0,0.0,0.9433962264150944,0.0,0.0,0.0
